Zürich
ZH
Bern
Berne
BE
Luzern
LU
Uri
UR
Schwyz
SZ
Obwalden
OW
Nidwalden
NW
Glarus
GL
Zug
ZG
Fribourg
Freiburg
FR
Solothurn
Basel-Stadt
BS
Basel-Landschaft
BL
Schaffhausen
SH
Appenzell Ausserrhoden
AR
Appenzell Innerrhoden
AI
St. Gallen
SG
Graubünden
Grischun
Grigioni
GR
Aargau
AG
Thurgau
TG
Ticino
TI
Vaud
VD
Valais
Wallis
VS
Neuchâtel
NE
Genève
GE
Jura
JU
Schweizerische Eidgenossenschaft
Confédération suisse
Confederazione Svizzera
Confederaziun svizra
CH
