Aargauerstrasse
Albisriederstrasse
Alfred-Escher-Strasse
Allmannstrasse
Andreasstrasse
Anemonenstrasse
Asylstrasse
Augustinergasse
Badenerstrasse
Bahnhofquai
Bahnhofstrasse
Batteriestrasse
Beatengasse
Bederstrasse
Bellerivestrasse
Bellevue
Binzmühlestrasse
Birmensdorferstrasse
Bleicherweg
Bocklerstrasse
Brunaustrasse
Bucheggplatz
Burenweg
Bändlistrasse
Bärengasse
Claridenhof
Dennlerstrasse
Döltschiweg
Dübendorfstrasse
Eichstrasse
Forchstrasse
Forsterstrasse
Fortunagasse
Fraumünsterstrasse
Freiestrasse
Freigutstrasse
Friesstrasse
Gasometerstrasse
General-Guisan-Quai
Germaniastrasse
Gessnerallee
Gladbachstrasse
Glockengasse
Gloriastrasse
Grütstrasse
Hadlaubstrasse
Hafner-Strasse
Hardstrasse
Hauserstrasse
Heimstrasse
Heinrichstrasse
Hirschengraben
Hochstrasse
Hofwiesenstrasse
Hohe Promenade
Hohlstrasse
Hottingerstrasse
Im Heimgärtli
Im Kratz
In Gassen
Jenatsch-Strasse
Kasernenstrasse
Kilchbergstrasse
Kirchgasse
Kreuzbühlstrasse
Krähbühlstrasse
Kuttelgasse
Langstrasse
Leonhardstrasse
Letzigraben
Leuengasse
Leutschenbachstrasse
Limmatquai
Limmatstrasse
Limmattalstrasse
Löwenstrasse
Mainaustraße
Merkurstrasse
Museumstrasse
Mythenquai
Nansenstrasse
Neumarkt
Neustadtgasse
Oetenbachgasse
Olgastrasse
Paradiesstrasse
Pfalzgasse
Pfingstweidstrasse
Predigergasse
Püntstrasse
Rennweg
Riedhofweg
Rindermarkt
Rosengartenstrasse
Rämistrasse
Schaffhauserstrasse
Scheuchzerstrasse
Schifflände
Schmelzbergstrasse
Seefeldquai
Seefeldstrasse
Seestrasse
Seilergraben
Sihlfeldstrasse
Sihlhochstrasse
Sihlquai
Sonnenbergstrasse
Spiegelgasse
Stadthausquai
Stampfenbachstrasse
Sternen Oerlikon
Stolzestrasse
Storchengasse
Strehlgasse
Synagogengasse
Südstrasse
Talacker
Tannenstrasse
Theaterstrasse
Thermengasse
Thurgauerstrasse
Titlisstrasse
Trittligasse
Uetlibergstrasse
Universitätstrasse
Uraniastrasse
Utoquai
Vulkanstrasse
Wallisellenstrasse
Wehntalerstrasse
Weinbergstrasse
Werdmühlestrasse
Westtangente
Winterthurerstrasse
