Åbenrå
Adelgade
Admiralgade
Amagertorv
Amaliegade
Amalienborg Slotsplads
Antonigade 
Asylgade 
August Bournonvilles Passage
Badstuestræde
Bispetorv
Boldhusgade
Borgergade
Børsgade
Bredgade
Bremerholm
Brolæggerstræde
Bryghusgade
Christian IX's Gade 
Cort Adelers Gade 
Delfingade
Dronningens Tværgade
Dybensgade 	Dybensgade
Dyrkøb
Esplanaden
Farvergade
Fiolstræde
Fredericiagade 
Frederiksborggade
Gammel Mønt
Gammel Strand
Gammeltorv
Gammelvagt
Gernersgade 
Grønnegade
Hammerensgade
Haregade
Havnegade
Højbro Plads
Holmens Kanal
Hyskenstræde
Kastellet
Kattesundet
Kejsergade
Klareboderne
Klerkegade
Klosterstræde
Knabrostræde
Kompagnistræde
Kongens Nytorv
Kristen Bernikows Gade
Krokodillegade
Kronprinsensgade 
Kronprinsessegade
Krusemyntegade
Krystalgade
Kultorvet
Kvæsthusgade
Købmagergade
Laksegade
Landemærket 
Landgreven
Larsbjørnsstræde
Larslejsstræde
Lavendelstræde
Lille Kannikestræde
Lille Kirkestræde
Lille Kongensgade
Lille Strandstræde
Læderstræde 
Løngangstræde
Lønporten
Løvstræde
Magstræde
Mikkel Bryggers Gade
Møntergade
Naboløs
Niels Hemmingsens Gade
Niels Juels Gade
Nikolaj Plads
Nikolajgade 
Nordre Toldbod
Ny Adelgade
Ny Kongensgade
Ny Vestergade
Ny Østergade
Nybrogade
Nygade
Nyhavn
Nytorv
Nørre Voldgade
Nørregade
Olfert Fischers Gade
Palægade
Peder Hvitfeldts Stræde
Peder Skrams Gade
Pilestræde
Rådhusstræde
Rævegade
Rigensgade
Rosenborggade
Rosengade
Rosengården
Sankt Annæ Plads
Sankt Gertruds Stræde
Sankt Pauls Gade
Sankt Pauls Plads
Sankt Peders Stræde
Sankt Petri Passage
Silkegade
Sjæleboderne
Skindergade
Skoubogade
Slotsholmsgade
Sølvgade
Stockholmsgade
Stokhusgade
Store Kannikestræde
Store Kongensgade
Store Strandstræde
Stormgade
Studiestræde
Suensonsgade
Toldbodgade
Tøjhusgade
Tornebuskegade
Valkendorfsgade 
Vandkunsten
Ved Kongeporten
Ved Stranden
Vestergade
Vognmagergade
A. H. Vedels Plads
Anagergade
Andreas Bjørns Gade
Applebys Plads
Arsenalvej
Asiatisk Plads
Bådsmandsstræde
Bodenhoffs Plads
Bohlendachvej
Brobergsgade
Burmeistergade
Christianshavns Kanal
Christianshavns Torv
Christianshavns Voldgade
Danneskiold-Samsøes Allé
David Balfours Gadel
Dronningensgadel
Ekvipagemestervej
Eskadrevej
Fabriksmester 
Galionsvej 
H. C. Sneedorffs Allé
Halvtolv
Hammerhøjs Kaj
Henrik Gerners Plads
Henrik Spans Vej
Johan Semps Gade
Kanonbådsvej
Kongebrosvej
Langebrogade
Overgaden Oven Vandet
Sankt Annæ Gade
Sofiegade
Spanteloftvej
Store Søndervoldstræde
Strandgade
Takkeladsvej
Torvegade
Theodor Christensens Plads
Ved Sixtusbatteriet
Ved Søminegraven
Wilders Plads
Wildersgade
Ahrenkildes Allé
Amager Boulevard
Amager Strand vej
Amagerbrogade
Amagerfælledvek
Arne Jacobsens Allé 
Artillerivej
Blekingegade
Christmas Møllers Plads
Egilsgade
Frankrigsgade
Holmbladsgade
Islands Brygge
Jemtelandsgade
Myggenæsgade
Njalsgade
Øresundsvej
Østrigsgade
Oxord Allé
Prags Boulevard
Raffinaderivej
Reykjaviksgade
Strandlodsvej
Sundbyvester Plads
Åboulevard
Alhambravej
Allégade
Amalievej
Amicisvej
Ane Katrines Vej
Bakkegårds Allé
Bille Brahes Vej
Brøndsteds Allé
Bülowsvej
Dalgas Boulevard
Danasvej
Doktor Abildgaards Allé
Dr. Priemes Vej
Erik Menveds Vej
Energiens Torv
Engtoftevej
Falkoner Allé
Falkonergårdsvej
Fillipavej
Finsensvej
Forchhammersvej
Forhåbningsholms Allé
Franckesvej
Frederiksberg Allé
Frederiksberg Bredegade
Frederiksberg Runddel
Gammel Kongevej
Godthåbsvej
Grundtvigsvej
H. C. Ørsteds Vej
Halls Allé
Harsdorffsvej
Hauchsvej 					
Haveselskabetsvej
Henrik Ibsens Vej
Henrik Steffens Vej
Hospitalsvej
Hostrups Have
Hostrupsvej
Howitzvej
Johnstrups Allé
Julius Thomsens Plads
Kammasvej
Kingosgade
L. I. Brandes Allé
Lykkesholms Allé
Madvigs Allé
Mariendalsvej
Martensens Allé
Martinsvej
Mynstersvej
Niels Ebbesens Vej
Nordre Fasanvej
Prinsesse Maries Allé
Rolighedsvej
Rosenørns Allé
Sankt Knuds Vej
Sankt Markus Allé
Schønbergsgade
